User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Late_Night_Usage (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Notifications_per_Day,Dominant_Emotion
1,25,Female,Instagram,120,35,3,45,10,12,40,Positive
2,30,,Twitter,90,70,5,20,25,30,239,Negative
3,22,Male,Facebook,60,30,2,15,5,,110,Positive
4,28,,Instagram,200,100,8,100,30,50,248,Negative
5,33,Male,LinkedIn,45,40,1,5,2,,47,Positive
6,21,Male,Instagram,150,120,4,60,15,25,98,Positive
7,27,Female,Twitter,85,55,3,30,10,18,192,Negative
8,24,Female,Facebook,110,110,6,25,12,22,73,Negative
9,,Female,LinkedIn,55,45,2,10,3,8,240,Positive
10,31,Male,Instagram,170,75,5,80,20,35,43,Positive
11,23,Female,Twitter,75,70,4,35,7,20,60,Negative
12,26,Female,Facebook,95,10,3,20,,18,59,Negative
13,34,Male,LinkedIn,65,45,1,12,4,15,115,Positive
14,22,Female,Instagram,180,55,7,90,25,40,208,Positive
15,,Male,Twitter,100,95,6,40,23,28,235,Negative
16,21,,Facebook,40,30,1,5,2,10,208,Positive
17,35,,Instagram,180,170,,55,18,30,67,Negative
18,27,Male,Twitter,90,50,3,,15,25,177,Negative
19,,Male,LinkedIn,50,30,1,8,,12,108,Positive
20,32,Female,Instagram,140,108,5,70,22,33,249,Positive
21,26,Male,Facebook,75,0,2,25,10,18,142,Negative
22,24,Female,Twitter,105,40,4,28,14,20,131,Negative
23,29,Male,LinkedIn,60,25,2,,5,,91,Positive
24,33,,Instagram,190,151,8,95,26,45,149,Positive
25,22,Female,Twitter,70,25,3,20,12,15,248,Negative
26,31,Male,Facebook,,82,,18,8,21,86,Positive
27,27,Male,LinkedIn,55,45,1,9,2,11,173,Negative
28,25,Female,Instagram,160,148,6,85,,32,96,Positive
29,30,Male,Twitter,90,55,4,38,17,24,248,Negative
30,26,Female,Facebook,45,90,1,6,3,10,193,Negative
31,34,Female,LinkedIn,65,45,2,,4,14,245,Positive
32,28,Male,Instagram,145,24,5,75,20,35,28,Positive
33,23,Male,Twitter,70,20,3,27,11,18,116,Positive
34,21,Female,Instagram,130,0,6,88,15,30,167,Negative
35,29,Male,Facebook,65,55,2,22,8,20,182,Negative
36,24,Female,LinkedIn,55,40,1,10,5,11,185,Positive
37,33,Female,Instagram,170,136,7,90,25,40,24,Positive
38,27,Male,Twitter,85,35,4,35,15,20,235,Negative
39,22,Female,Instagram,115,45,3,55,12,25,56,Positive
40,28,Female,Facebook,,74,2,18,10,22,22,Negative
41,31,Male,LinkedIn,45,20,1,6,2,,238,Negative
42,25,Female,Instagram,150,22,6,80,18,30,107,Positive
43,29,Male,Twitter,95,45,4,,20,22,194,Negative
44,23,Female,Facebook,,82,2,20,8,,243,Positive
45,35,Female,LinkedIn,60,54,1,12,5,,195,Positive
46,30,Male,Instagram,175,55,7,85,23,38,43,Positive
47,21,Female,Twitter,90,87,3,,12,20,104,Negative
48,26,Female,Facebook,75,69,2,28,,18,195,Negative
49,32,Male,Instagram,,214,5,70,,31,168,Positive
50,28,Female,LinkedIn,55,51,1,8,4,10,178,Positive
51,27,Male,,165,92,6,78,22,27,64,Positive
52,24,Female,Twitter,75,45,3,29,15,,20,Negative
53,29,Male,Facebook,85,45,2,25,7,20,17,Positive
54,33,,,145,93,4,60,18,35,247,Negative
55,31,Male,LinkedIn,60,30,1,10,3,17,74,Negative
56,22,Female,Whatsapp,70,58,2,40,8,21,199,Negative
57,25,Male,Telegram,90,43,3,20,10,22,181,Positive
58,29,Female,Snapchat,50,10,2,15,5,18,241,Negative
59,28,Female,Twitter,95,60,4,45,20,25,247,Positive
60,27,Male,Facebook,,143,1,10,4,15,106,Positive
61,30,Female,Instagram,175,61,6,70,23,33,78,Positive
62,23,Male,,70,60,3,20,8,18,11,Negative
63,34,Male,Telegram,80,73,2,18,7,,145,Positive
64,26,Female,,120,65,4,50,15,30,167,Negative
65,25,Male,Twitter,90,12,6,40,12,26,170,Negative
66,29,Female,Facebook,60,25,1,8,2,12,122,Positive
67,28,Male,Instagram,165,114,5,75,18,35,100,Positive
68,31,Female,Whatsapp,65,52,2,25,8,20,170,Positive
69,27,Male,Telegram,105,50,3,45,15,28,12,Negative
70,22,Female,Snapchat,75,66,2,18,6,20,55,Negative
71,24,Female,,140,79,4,,18,30,34,Positive
72,35,Male,Twitter,70,35,,12,7,10,31,Positive
73,21,Male,Facebook,,141,3,15,5,12,136,Positive
74,29,Female,Whatsapp,90,50,2,20,9,22,166,Negative
75,25,Male,Telegram,80,60,4,28,11,25,61,Positive
76,28,Female,,115,77,,36,12,27,204,Negative
77,32,Female,Instagram,155,63,6,72,20,38,103,Positive
78,26,Male,Twitter,75,30,2,22,10,18,65,Negative
79,33,Male,Facebook,65,40,1,,5,14,121,Negative
80,27,Female,Whatsapp,90,50,4,35,14,20,138,Positive
81,31,Male,Telegram,50,30,2,18,6,12,214,Negative
82,24,Female,Snapchat,85,134,3,30,13,18,155,Positive
83,34,Female,Instagram,120,40,5,55,19,25,234,Negative
84,22,Male,Twitter,70,45,1,20,5,22,13,Positive
85,29,Male,Facebook,75,55,,,8,20,170,Positive
86,,Female,Whatsapp,,75,4,,12,26,174,Negative
87,31,Male,Telegram,85,36,3,40,15,28,226,Negative
88,21,,Snapchat,60,25,1,15,5,12,145,Positive
89,25,Female,Instagram,170,113,6,78,22,33,108,Positive
90,30,Male,Twitter,,86,2,28,10,20,163,Negative
91,27,Male,,50,15,1,8,2,10,14,Positive
92,32,Female,Whatsapp,105,98,4,50,18,25,234,Negative
93,24,Male,Telegram,75,60,3,33,13,22,87,Positive
94,29,Female,Snapchat,95,82,2,20,7,28,132,Negative
95,26,Male,Instagram,150,125,5,65,20,30,72,Negative
96,33,Female,Twitter,85,24,4,30,13,18,165,Positive
97,22,Female,Facebook,70,50,1,12,5,10,33,Positive
98,35,Male,Whatsapp,110,27,3,45,20,25,45,Positive
99,28,Male,Telegram,60,30,2,15,6,18,155,Negative
100,27,Female,Snapchat,120,136,4,38,,,98,Positive
101,,Female,Instagram,120,62,5,50,20,,106,Positive
102,30,Male,Twitter,90,30,4,30,20,22,155,Negative
103,22,Male,Facebook,60,40,2,20,10,15,35,Positive
104,28,Female,Instagram,200,15,8,110,40,45,38,Negative
105,33,Male,LinkedIn,45,25,1,10,5,12,247,Positive
106,21,Male,Instagram,150,109,5,65,25,30,225,Positive
107,,Female,Twitter,85,77,3,40,18,20,29,Negative
108,24,Female,Facebook,110,40,6,35,16,25,102,Negative
109,,Female,LinkedIn,55,30,2,15,5,10,25,Positive
110,31,Male,Instagram,170,55,7,90,35,40,118,Positive
111,23,,Twitter,75,60,4,45,20,25,249,Negative
112,,Female,Facebook,95,0,3,30,14,18,27,Negative
113,34,Male,LinkedIn,65,30,1,14,6,15,112,Positive
114,22,Female,Instagram,180,0,8,100,38,45,167,Positive
115,28,Male,Twitter,,55,,50,,29,244,Negative
116,21,Female,Facebook,40,25,1,10,4,12,45,Positive
117,,Female,Instagram,125,44,5,65,22,28,44,Negative
118,27,Male,Twitter,90,56,3,40,,24,183,Negative
119,23,Male,LinkedIn,50,25,1,12,6,12,24,Positive
120,32,Female,Instagram,140,133,6,75,,30,180,Positive
121,26,Male,,75,71,2,30,,,94,Negative
122,24,Female,Twitter,105,76,4,35,20,23,185,Negative
123,29,Male,LinkedIn,60,35,2,17,8,15,48,Positive
124,33,Female,Instagram,190,104,8,105,36,50,215,Positive
125,22,Female,Twitter,70,40,3,25,16,15,26,Negative
126,31,Male,Facebook,80,30,2,,10,20,45,Positive
127,27,Male,,55,45,1,12,5,11,146,Negative
128,25,Female,Instagram,160,104,6,85,26,30,57,Positive
129,30,Male,Twitter,90,65,4,43,19,24,105,Negative
130,26,Female,Facebook,45,74,1,8,4,12,162,Negative
131,,Female,LinkedIn,65,61,2,17,5,14,184,Positive
132,28,,Instagram,145,120,7,80,30,35,13,Positive
133,23,Male,,70,52,3,30,14,18,23,Positive
134,21,Female,Instagram,130,105,6,95,,28,227,Negative
135,29,,Facebook,65,40,2,27,11,22,180,Negative
136,24,Female,LinkedIn,,94,1,11,6,11,94,Positive
137,33,,Instagram,170,130,7,95,30,38,203,Positive
138,27,Male,Twitter,85,70,4,45,18,24,34,Negative
139,22,Female,Instagram,115,40,3,,17,30,35,Positive
140,28,Female,Facebook,100,79,2,22,12,25,57,Negative
141,31,Male,LinkedIn,45,20,1,9,,,75,Negative
142,25,Female,Instagram,150,109,6,90,,30,24,Positive
143,29,Male,Twitter,95,30,4,50,,,164,Negative
144,23,Female,Facebook,105,55,2,25,12,18,72,Positive
145,35,Female,LinkedIn,60,30,1,15,7,14,203,Positive
