User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Late_Night_Usage,Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Notifications_per_Day,Dominant_Emotion
1,25,Female,Instagram,120,35,3,45,10,12,40,Happiness
2,30,,Twitter,90,70,5,20,25,30,239,Anger
3,22,Non-binary,Facebook,60,30,2,15,5,,110,Neutral
4,28,,Instagram,200,100,8,100,30,50,248,Anxiety
5,33,Male,LinkedIn,45,40,1,5,2,,47,Boredom
6,21,Male,Instagram,150,120,4,60,15,25,98,Happiness
7,27,Female,Twitter,85,55,3,30,10,18,192,Anger
8,24,Non-binary,Facebook,110,110,6,25,12,22,73,Sadness
9,,Female,LinkedIn,55,45,2,10,3,8,240,Neutral
10,31,Male,Instagram,170,75,5,80,20,35,43,Happiness
11,23,Female,Twitter,75,70,4,35,7,20,60,Anxiety
12,26,Non-binary,Facebook,95,10,3,20,,18,59,Sadness
13,34,Male,LinkedIn,65,45,1,12,4,15,115,Boredom
14,22,Female,Instagram,180,55,7,90,25,40,208,Happiness
15,,Male,Twitter,100,95,6,40,23,28,235,Anger
16,21,,Facebook,40,30,1,5,2,10,208,Neutral
17,35,,Instagram,180,170,,55,18,30,67,Anxiety
18,27,Male,Twitter,90,50,3,,15,25,177,Sadness
19,,Non-binary,LinkedIn,50,30,1,8,,12,108,Neutral
20,32,Female,Instagram,140,108,5,70,22,33,249,Happiness
21,26,Male,Facebook,75,0,2,25,10,18,142,Anxiety
22,24,Female,Twitter,105,40,4,28,14,20,131,Anger
23,29,Male,LinkedIn,60,25,2,,5,,91,Boredom
24,33,,Instagram,190,151,8,95,26,45,149,Happiness
25,22,Female,Twitter,70,25,3,20,12,15,248,Sadness
26,31,Male,Facebook,,82,,18,8,21,86,Neutral
27,27,Non-binary,LinkedIn,55,45,1,9,2,11,173,Anxiety
28,25,Female,Instagram,160,148,6,85,,32,96,Happiness
29,30,Male,Twitter,90,55,4,38,17,24,248,Anger
30,26,Non-binary,Facebook,45,90,1,6,3,10,193,Sadness
31,34,Female,LinkedIn,65,45,2,,4,14,245,Boredom
32,28,Male,Instagram,145,24,5,75,20,35,28,Happiness
33,23,Non-binary,Twitter,70,20,3,27,11,18,116,Neutral
34,21,Female,Instagram,130,0,6,88,15,30,167,Sadness
35,29,Male,Facebook,65,55,2,22,8,20,182,Anxiety
36,24,Non-binary,LinkedIn,55,40,1,10,5,11,185,Boredom
37,33,Female,Instagram,170,136,7,90,25,40,24,Happiness
38,27,Male,Twitter,85,35,4,35,15,20,235,Anger
39,22,Female,Instagram,115,45,3,55,12,25,56,Neutral
40,28,Non-binary,Facebook,,74,2,18,10,22,22,Anxiety
41,31,Male,LinkedIn,45,20,1,6,2,,238,Sadness
42,25,Female,Instagram,150,22,6,80,18,30,107,Happiness
43,29,Male,Twitter,95,45,4,,20,22,194,Anger
44,23,Non-binary,Facebook,,82,2,20,8,,243,Neutral
45,35,Female,LinkedIn,60,54,1,12,5,,195,Boredom
46,30,Male,Instagram,175,55,7,85,23,38,43,Happiness
47,21,Female,Twitter,90,87,3,,12,20,104,Sadness
48,26,Non-binary,Facebook,75,69,2,28,,18,195,Anxiety
49,32,Male,Instagram,,214,5,70,,31,168,Neutral
